Task ID,Task Name,Phase,Status,Priority,Estimate (hrs),Notes
DS-001,Install pnpm globally if not installed,Phase 1,Not Started,P0,0.1,Install pnpm package manager globally. Verify with pnpm --version
DS-002,Create pnpm-workspace.yaml at root,Phase 1,Not Started,P0,0.2,Define workspace packages in pnpm-workspace.yaml
DS-003,Create root package.json with workspace config,Phase 1,Not Started,P0,0.3,Setup root package.json with monorepo scripts and dependencies
DS-004,Install Turborepo as dev dependency,Phase 1,Not Started,P0,0.2,Add turbo to root devDependencies
DS-005,Create turbo.json pipeline configuration,Phase 1,Not Started,P0,0.4,Configure Turborepo pipeline with build/dev/lint tasks
DS-006,Update root .gitignore for monorepo patterns,Phase 1,Not Started,P1,0.2,Add .turbo/ dist/ and package-specific patterns
DS-007,Create packages/ directory,Phase 1,Not Started,P0,0.1,mkdir -p packages
DS-008,Move frontend/ to packages/frontend/,Phase 1,Not Started,P0,0.3,Relocate existing frontend directory
DS-009,Update frontend package.json with @devprep/frontend name,Phase 1,Not Started,P0,0.2,Add namespace to package name
DS-010,Update all path references in frontend after move,Phase 1,Not Started,P0,0.5,Fix import paths and tsconfig paths if needed
DS-011,Test frontend dev server still works,Phase 1,Not Started,P0,0.3,Run pnpm dev and verify localhost:3000 loads
DS-012,Test frontend build still works,Phase 1,Not Started,P0,0.3,Run pnpm build and verify success
DS-013,Update root README.md with monorepo instructions,Phase 1,Not Started,P2,0.3,Document workspace structure and commands
DS-014,Create packages/design-system/ directory structure,Phase 2,Not Started,P0,0.2,mkdir -p packages/design-system/src
DS-015,Create design system package.json,Phase 2,Not Started,P0,0.4,Setup @devprep/design-system with exports and scripts
DS-016,Install design system dependencies,Phase 2,Not Started,P0,0.3,Add React CVA clsx tailwind-merge
DS-017,Install design system dev dependencies,Phase 2,Not Started,P0,0.3,Add tsup Storybook TypeScript
DS-018,Create tsup.config.ts for CJS + ESM build,Phase 2,Not Started,P0,0.3,Configure dual format build output
DS-019,Create design system tsconfig.json,Phase 2,Not Started,P0,0.3,Extend root tsconfig with package settings
DS-020,Create src/ directory structure,Phase 2,Not Started,P0,0.2,mkdir components tokens styles utils
DS-021,Create src/index.ts main export file,Phase 2,Not Started,P0,0.2,Barrel export for all components
DS-022,Create tailwind.config.ts for design system,Phase 2,Not Started,P0,0.3,Configure Tailwind with design tokens
DS-023,Test build pipeline with dummy component,Phase 2,Not Started,P0,0.4,Create test component and verify build
DS-024,Verify CJS output in dist/,Phase 2,Not Started,P0,0.2,Check dist/index.js exists
DS-025,Verify ESM output in dist/,Phase 2,Not Started,P0,0.2,Check dist/index.mjs exists
DS-026,Verify TypeScript declarations generated,Phase 2,Not Started,P0,0.3,Check dist/index.d.ts exists
DS-027,Add design system README.md,Phase 2,Not Started,P2,0.4,Document usage and installation
DS-028,Add npm scripts to package.json,Phase 2,Not Started,P1,0.2,Add dev build lint storybook scripts
DS-029,Create src/tokens/ directory,Phase 3,Not Started,P0,0.1,mkdir src/tokens
DS-030,Create primitive.ts - define raw color values,Phase 3,Not Started,P0,0.5,Extract colors from glassmorphism_colorscheme_1.html
DS-031,Create primitive.ts - define spacing scale,Phase 3,Not Started,P0,0.3,Define 0.25rem base spacing scale
DS-032,Create primitive.ts - define border radii,Phase 3,Not Started,P0,0.2,Define radius scale sm/md/lg/xl
DS-033,Create primitive.ts - define blur levels,Phase 3,Not Started,P0,0.2,Define 10px 20px 30px blur levels
DS-034,Create semantic.ts - map colors to semantic purposes,Phase 3,Not Started,P0,0.5,Map primitive colors to background/foreground/primary
DS-035,Create semantic.ts - map spacing to semantic scale,Phase 3,Not Started,P0,0.3,Map primitive spacing to xs/sm/md/lg/xl
DS-036,Create component.ts - define glass component tokens,Phase 3,Not Started,P0,0.5,Extract glass effects from themes/glassmorphism.css
DS-037,Create component.ts - define button component tokens,Phase 3,Not Started,P0,0.3,Define button-specific tokens
DS-038,Create component.ts - define card component tokens,Phase 3,Not Started,P0,0.3,Define card-specific tokens
DS-039,Create tokens/index.ts with unified export,Phase 3,Not Started,P0,0.2,Barrel export all token modules
DS-040,Add JSDoc comments to all token definitions,Phase 3,Not Started,P1,0.5,Document each token with usage examples
DS-041,Create scripts/generate-tokens.js script,Phase 3,Not Started,P1,0.6,Automate TS to CSS variable generation
DS-042,Generate CSS variables from TypeScript tokens,Phase 3,Not Started,P1,0.4,Run token generation script
DS-043,Create src/styles/tokens.css with generated variables,Phase 3,Not Started,P1,0.3,Output CSS custom properties
DS-044,Test token imports in TypeScript,Phase 3,Not Started,P0,0.2,Import and use tokens in test file
DS-045,Test token usage in CSS,Phase 3,Not Started,P1,0.2,Verify CSS variables work correctly
DS-046,Add token generation to build pipeline,Phase 3,Not Started,P1,0.3,Run generate-tokens as prebuild step
DS-047,Initialize Storybook with @storybook/nextjs,Phase 4,Not Started,P0,0.5,Run npx storybook@latest init
